cell_id,ambient_temp_c,cycle_index,elapsed_days,discharge_current_a,capacity_ahr,initial_capacity_ahr,soh_pct
B0005,24,40,21.8498,1.9982,1.773038,1.835349,96.6049
B0005,24,41,22.0557,1.9982,1.767872,1.835349,96.3235
B0005,24,42,22.2587,1.9982,1.762315,1.835349,96.0207
B0005,24,43,22.8598,1.9982,1.767617,1.835349,96.3096
B0005,24,44,23.1932,1.9982,1.762668,1.835349,96.0399
B0005,24,45,23.402,1.9982,1.75173,1.835349,95.444
B0005,24,46,23.6055,1.9982,1.74185,1.835349,94.9056
B0005,24,47,23.8144,1.9982,1.736091,1.835349,94.5919
B0005,24,48,26.8682,1.9982,1.793624,1.835349,97.7266
B0005,24,49,27.0693,1.9982,1.783189,1.835349,97.158
B0005,24,50,27.2739,1.9982,1.767364,1.835349,96.2958
B0005,24,51,27.471,1.9982,1.757018,1.835349,95.7321
B0005,24,52,27.6778,1.998,1.746871,1.835349,95.1792
B0005,24,53,27.8772,1.9982,1.741717,1.835349,94.8984
B0005,24,54,28.0796,1.9982,1.736423,1.835349,94.6099
B0005,24,55,28.2842,1.9982,1.726322,1.835349,94.0596
B0005,24,56,28.493,1.9982,1.715807,1.835349,93.4867
B0005,24,57,28.7016,1.9982,1.710533,1.835349,93.1993
B0005,24,58,28.9088,1.9982,1.706014,1.835349,92.9531
B0005,24,59,29.1149,1.9982,1.700311,1.835349,92.6424
B0005,24,60,29.3226,1.9982,1.69458,1.835349,92.3301
B0005,24,61,29.5194,1.9982,1.684903,1.835349,91.8029
B0005,24,62,29.7215,1.9982,1.674474,1.835349,91.2346
B0005,24,63,29.9287,1.9982,1.674569,1.835349,91.2398
B0005,24,64,30.1542,1.9982,1.663716,1.835349,90.6485
B0005,24,65,30.3324,1.9982,1.659014,1.835349,90.3923
B0005,24,66,30.533,1.9982,1.653854,1.835349,90.1111
B0005,24,67,30.7393,1.9982,1.642654,1.835349,89.5009
B0005,24,68,30.9437,1.9982,1.637858,1.835349,89.2396
B0005,24,69,31.1476,1.9982,1.632735,1.835349,88.9605
B0005,24,70,31.345,1.9982,1.627753,1.835349,88.689
B0005,24,71,31.5528,1.9982,1.622125,1.835349,88.3824
B0005,24,72,31.7601,1.9982,1.611326,1.835349,87.794
B0005,24,73,31.967,1.9982,1.606563,1.835349,87.5345
B0005,24,74,32.1746,1.9982,1.601514,1.835349,87.2594
B0005,24,75,32.3821,1.9982,1.590369,1.835349,86.6521
B0005,24,76,32.5851,1.9982,1.585789,1.835349,86.4026
B0005,24,77,32.8443,1.9982,1.584943,1.835349,86.3565
B0005,24,78,33.2184,1.9982,1.595526,1.835349,86.9331
B0005,24,79,33.4258,1.998,1.57473,1.835349,85.8
B0005,24,80,33.6329,1.998,1.564902,1.835349,85.2645
B0005,24,81,33.8331,1.9982,1.559766,1.835349,84.9847
B0005,24,82,34.0402,1.9982,1.559482,1.835349,84.9692
B0005,24,83,34.2473,1.9982,1.554689,1.835349,84.7081
B0005,24,84,34.4526,1.9982,1.548874,1.835349,84.3912
B0005,24,85,34.6516,1.998,1.538237,1.835349,83.8117
B0005,24,86,34.8584,1.998,1.527914,1.835349,83.2492
B0005,24,87,35.0651,1.9982,1.528525,1.835349,83.2825
B0005,24,88,35.2712,1.9982,1.522647,1.835349,82.9623
B0005,24,89,35.4779,1.9982,1.517486,1.835349,82.6811
B0005,24,90,36.8746,1.9982,1.605819,1.835349,87.4939
B0005,24,91,37.21,1.9982,1.563849,1.835349,85.2072
B0005,24,92,37.4141,1.9982,1.548092,1.835349,84.3486
B0005,24,93,37.6198,1.9982,1.532376,1.835349,83.4923
B0005,24,94,37.8267,1.9982,1.526953,1.835349,83.1969
B0005,24,95,38.0321,1.9982,1.516957,1.835349,82.6522
B0005,24,96,38.2377,1.9982,1.511898,1.835349,82.3766
B0005,24,97,38.4442,1.9982,1.506564,1.835349,82.086
B0005,24,98,38.6457,1.9982,1.501545,1.835349,81.8125
B0005,24,99,38.8522,1.9982,1.490844,1.835349,81.2295
B0005,24,100,39.0585,1.9982,1.485868,1.835349,80.9583
B0005,24,101,39.2649,1.9982,1.480414,1.835349,80.6611
B0005,24,102,39.4662,1.9982,1.47521,1.835349,80.3776
B0005,24,103,39.8964,1.9982,1.485904,1.835349,80.9603
B0005,24,104,40.1488,1.9982,1.496092,1.835349,81.5154
B0005,24,105,40.3525,1.9982,1.480801,1.835349,80.6822
B0005,24,106,40.5484,1.9982,1.469754,1.835349,80.0804
B0005,24,107,40.7489,1.9982,1.453901,1.835349,79.2166
B0005,24,108,40.9547,1.9982,1.454146,1.835349,79.2299
B0005,24,109,41.1518,1.9982,1.455024,1.835349,79.2778
B0005,24,110,41.3568,1.9982,1.449042,1.835349,78.9519
B0005,24,111,41.5627,1.9982,1.438671,1.835349,78.3868
B0005,24,112,41.7685,1.9982,1.433445,1.835349,78.1021
B0005,24,113,41.9651,1.9982,1.433396,1.835349,78.0994
B0005,24,114,42.1708,1.9982,1.428065,1.835349,77.8089
B0005,24,115,42.3766,1.9982,1.42292,1.835349,77.5286
B0005,24,116,42.5822,1.9982,1.417429,1.835349,77.2294
B0005,24,117,42.7878,1.9982,1.412409,1.835349,76.9559
B0005,24,118,42.9898,1.9982,1.412579,1.835349,76.9651
B0005,24,119,43.1883,1.9982,1.407598,1.835349,76.6938
B0005,24,120,44.062,1.9982,1.433392,1.835349,78.0991
B0005,24,121,44.2583,1.9982,1.438255,1.835349,78.3641
B0005,24,122,44.4629,1.9982,1.417355,1.835349,77.2253
B0005,24,123,44.6664,1.9982,1.406982,1.835349,76.6602
B0005,24,124,44.8719,1.9982,1.401204,1.835349,76.3454
B0005,24,125,45.0763,1.9982,1.396701,1.835349,76.1
B0005,24,126,45.2814,1.9982,1.391285,1.835349,75.8049
B0005,24,127,45.4859,1.9982,1.386229,1.835349,75.5294
B0005,24,128,45.6911,1.9982,1.380437,1.835349,75.2138
B0005,24,129,45.8883,1.9982,1.375236,1.835349,74.9305
B0005,24,130,46.0908,1.9982,1.370513,1.835349,74.6731
B0005,24,131,46.2959,1.9982,1.370509,1.835349,74.6729
B0005,24,132,46.501,1.9982,1.364736,1.835349,74.3584
B0005,24,133,47.0062,1.9982,1.375392,1.835349,74.939
B0005,24,134,47.232,1.9982,1.386112,1.835349,75.523
B0005,24,135,47.4104,1.9982,1.36985,1.835349,74.637
B0005,24,136,47.6156,1.9982,1.364783,1.835349,74.3609
B0005,24,137,47.8206,1.9982,1.354322,1.835349,73.791
B0005,24,138,48.0221,1.9982,1.354642,1.835349,73.8084
B0005,24,139,48.2257,1.9982,1.354704,1.835349,73.8118
B0005,24,140,48.4264,1.998,1.349315,1.835349,73.5182
B0005,24,141,48.6241,1.998,1.344189,1.835349,73.2389
B0005,24,142,48.8281,1.9982,1.338991,1.835349,72.9557
B0005,24,143,49.031,1.9982,1.338915,1.835349,72.9515
B0005,24,144,49.2337,1.9982,1.334007,1.835349,72.6841
B0005,24,145,49.4287,1.998,1.328644,1.835349,72.3919
B0005,24,146,49.6298,1.998,1.323171,1.835349,72.0937
B0005,24,147,49.8317,1.9982,1.318169,1.835349,71.8212
B0005,24,148,50.0363,1.9982,1.318466,1.835349,71.8374
B0005,24,149,50.232,1.9982,1.318293,1.835349,71.8279
B0005,24,150,50.8664,1.9982,1.323872,1.835349,72.1319
B0005,24,151,51.2006,1.9982,1.360122,1.835349,74.107
B0005,24,152,51.4053,1.998,1.339531,1.835349,72.9851
B0005,24,153,51.6074,1.998,1.329029,1.835349,72.4128
B0005,24,154,51.8036,1.998,1.323674,1.835349,72.1211
B0005,24,155,52.0038,1.998,1.318634,1.835349,71.8465
B0005,24,156,52.2052,1.998,1.313475,1.835349,71.5654
B0005,24,157,52.4036,1.998,1.313202,1.835349,71.5505
B0005,24,158,52.6053,1.998,1.307796,1.835349,71.256
B0005,24,159,52.8097,1.9982,1.303033,1.835349,70.9965
B0005,24,160,53.008,1.9982,1.303357,1.835349,71.0141
B0005,24,161,53.2065,1.998,1.30341,1.835349,71.017
B0005,24,162,53.4079,1.998,1.297887,1.835349,70.7161
B0005,24,163,53.608,1.998,1.298074,1.835349,70.7262
B0005,24,164,53.8048,1.998,1.293464,1.835349,70.4751
B0005,24,165,54.0035,1.998,1.288003,1.835349,70.1776
B0005,24,166,54.2051,1.9982,1.287453,1.835349,70.1476
B0005,24,167,55.0187,1.9982,1.309015,1.835349,71.3224
B0005,24,168,55.2222,1.9982,1.325079,1.835349,72.1977
B0006,24,1,0.0,1.9992,2.035338,2.013326,101.0933
B0006,24,2,0.1792,1.999,2.02514,2.013326,100.5868
B0006,24,3,0.3579,1.999,2.013326,2.013326,100.0
B0006,24,4,0.5354,1.999,2.013285,2.013326,99.9979
B0006,24,5,0.7137,1.999,2.000528,2.013326,99.3643
B0006,24,6,0.8955,1.9992,2.013899,2.013326,100.0284
B0006,24,7,1.0775,1.9992,2.013101,2.013326,99.9888
B0006,24,8,1.2518,1.999,1.96879,2.013326,97.7879
B0006,24,9,1.4254,1.999,1.968166,2.013326,97.7569
B0006,24,10,1.5989,1.999,1.957231,2.013326,97.2138
B0006,24,11,1.772,1.999,1.945599,2.013326,96.6361
B0006,24,12,2.1047,1.999,1.934751,2.013326,96.0972
B0006,24,13,2.2752,1.999,1.92328,2.013326,95.5275
B0006,24,14,2.4547,1.999,1.91189,2.013326,94.9617
B0006,24,15,2.6245,1.999,1.901067,2.013326,94.4242
B0006,24,16,2.795,1.999,1.889199,2.013326,93.8347
B0006,24,17,2.9646,1.999,1.878278,2.013326,93.2923
B0006,24,18,3.1345,1.999,1.86757,2.013326,92.7604
B0006,24,19,3.3062,1.999,1.867589,2.013326,92.7614
B0006,24,20,16.2393,1.999,1.979627,2.013326,98.3262
B0006,24,21,16.4607,1.999,1.95755,2.013326,97.2296
B0006,24,22,16.6816,1.999,1.945815,2.013326,96.6468
B0006,24,23,16.9,1.999,1.924246,2.013326,95.5755
B0006,24,24,17.1262,1.999,1.945981,2.013326,96.655
B0006,24,25,17.3446,1.999,1.901408,2.013326,94.4411
B0006,24,26,17.5618,1.999,1.878674,2.013326,93.312
B0006,24,27,17.7853,1.999,1.868306,2.013326,92.797
B0006,24,28,18.0079,1.999,1.856024,2.013326,92.187
B0006,24,29,18.2257,1.999,1.8452,2.013326,91.6493
B0006,24,30,18.4509,1.999,1.857229,2.013326,92.2468
B0006,24,31,20.0056,1.999,1.924776,2.013326,95.6018
B0006,24,32,20.2088,1.999,1.882232,2.013326,93.4887
B0006,24,33,20.4115,1.999,1.855277,2.013326,92.1498
B0006,24,34,20.6199,1.999,1.839251,2.013326,91.3538
B0006,24,35,20.8211,1.999,1.81854,2.013326,90.3251
B0006,24,36,21.0283,1.999,1.813477,2.013326,90.0737
B0006,24,37,21.2342,1.999,1.797102,2.013326,89.2603
B0006,24,38,21.4346,1.999,1.781005,2.013326,88.4608
B0006,24,39,21.6419,1.999,1.771013,2.013326,87.9645
B0006,24,40,21.8498,1.999,1.760471,2.013326,87.4409
B0006,24,41,22.0557,1.999,1.750291,2.013326,86.9353
B0006,24,42,22.2587,1.999,1.739493,2.013326,86.3989
B0006,24,43,22.8598,1.999,1.754677,2.013326,87.1531
B0006,24,44,23.1932,1.999,1.765939,2.013326,87.7125
B0006,24,45,23.402,1.999,1.733789,2.013326,86.1156
B0006,24,46,23.6055,1.999,1.713326,2.013326,85.0993
B0006,24,47,23.8144,1.999,1.702408,2.013326,84.557
B0006,24,48,26.8682,1.9992,1.823719,2.013326,90.5824
B0006,24,49,27.0693,1.9992,1.808128,2.013326,89.808
B0006,24,50,27.2739,1.999,1.775761,2.013326,88.2004
B0006,24,51,27.471,1.999,1.744741,2.013326,86.6596
B0006,24,52,27.6778,1.999,1.729207,2.013326,85.8881
B0006,24,53,27.8772,1.999,1.708109,2.013326,84.8401
B0006,24,54,28.0796,1.999,1.697595,2.013326,84.3179
B0006,24,55,28.2842,1.999,1.682063,2.013326,83.5465
B0006,24,56,28.493,1.999,1.671477,2.013326,83.0207
B0006,24,57,28.7016,1.999,1.660759,2.013326,82.4883
B0006,24,58,28.9088,1.999,1.651121,2.013326,82.0096
B0006,24,59,29.1149,1.999,1.640135,2.013326,81.4639
B0006,24,60,29.3226,1.999,1.6292,2.013326,80.9208
B0006,24,61,29.5194,1.999,1.60885,2.013326,79.91
B0006,24,62,29.7215,1.999,1.603524,2.013326,79.6455
B0006,24,63,29.9287,1.999,1.598971,2.013326,79.4194
B0006,24,64,30.1542,1.999,1.587627,2.013326,78.8559
B0006,24,65,30.3324,1.999,1.582972,2.013326,78.6247
B0006,24,66,30.533,1.999,1.567138,2.013326,77.8382
B0006,24,67,30.7393,1.999,1.561345,2.013326,77.5505
B0006,24,68,30.9437,1.999,1.551171,2.013326,77.0452
B0006,24,69,31.1476,1.999,1.540674,2.013326,76.5238
B0006,24,70,31.345,1.999,1.525314,2.013326,75.7609
B0006,24,71,31.5528,1.999,1.530157,2.013326,76.0014
B0006,24,72,31.7601,1.999,1.524657,2.013326,75.7282
B0006,24,73,31.967,1.999,1.514549,2.013326,75.2262
B0006,24,74,32.1746,1.999,1.509392,2.013326,74.97
B0006,24,75,32.3821,1.999,1.503997,2.013326,74.7021
B0006,24,76,32.5851,1.999,1.49352,2.013326,74.1817
B0006,24,77,32.8443,1.999,1.487632,2.013326,73.8893
B0006,24,78,33.2184,1.999,1.530288,2.013326,76.0079
B0006,24,79,33.4258,1.9988,1.504076,2.013326,74.706
B0006,24,80,33.6329,1.9988,1.488759,2.013326,73.9453
B0006,24,81,33.8331,1.999,1.478278,2.013326,73.4247
B0006,24,82,34.0402,1.999,1.47846,2.013326,73.4337
B0006,24,83,34.2473,1.999,1.473215,2.013326,73.1732
B0006,24,84,34.4526,1.999,1.467516,2.013326,72.8901
B0006,24,85,34.6516,1.9988,1.451629,2.013326,72.101
B0006,24,86,34.8584,1.9988,1.451924,2.013326,72.1157
B0006,24,87,35.0651,1.999,1.447148,2.013326,71.8785
B0006,24,88,35.2712,1.999,1.446854,2.013326,71.8638
B0006,24,89,35.4779,1.999,1.441674,2.013326,71.6066
B0006,24,90,36.8746,1.999,1.593587,2.013326,79.1519
B0006,24,91,37.21,1.999,1.54639,2.013326,76.8077
B0006,24,92,37.4141,1.999,1.514706,2.013326,75.234
B0006,24,93,37.6198,1.999,1.498979,2.013326,74.4528
B0006,24,94,37.8267,1.999,1.483111,2.013326,73.6647
B0006,24,95,38.0321,1.999,1.472966,2.013326,73.1608
B0006,24,96,38.2377,1.999,1.46276,2.013326,72.6539
B0006,24,97,38.4442,1.999,1.451836,2.013326,72.1113
B0006,24,98,38.6457,1.999,1.446867,2.013326,71.8645
B0006,24,99,38.8522,1.999,1.44138,2.013326,71.592
B0006,24,100,39.0585,1.999,1.431211,2.013326,71.0869
B0006,24,101,39.2649,1.999,1.426025,2.013326,70.8293
B0006,24,102,39.4662,1.999,1.420488,2.013326,70.5543
B0006,24,103,39.8964,1.999,1.420701,2.013326,70.5648
B0006,24,104,40.1488,1.999,1.452256,2.013326,72.1322
B0006,24,105,40.3525,1.999,1.431558,2.013326,71.1041
B0006,24,106,40.5484,1.999,1.415016,2.013326,70.2825
B0006,24,107,40.7489,1.999,1.409731,2.013326,70.02
B0006,24,108,40.9547,1.999,1.404917,2.013326,69.7809
B0006,24,109,41.1518,1.9992,1.395164,2.013326,69.2965
B0006,24,110,41.3568,1.999,1.394534,2.013326,69.2652
B0006,24,111,41.5627,1.999,1.389317,2.013326,69.0061
B0006,24,112,41.7685,1.999,1.383838,2.013326,68.7339
B0006,24,113,41.9651,1.9992,1.373681,2.013326,68.2294
B0006,24,114,42.1708,1.999,1.378606,2.013326,68.474
B0006,24,115,42.3766,1.999,1.37376,2.013326,68.2334
B0006,24,116,42.5822,1.999,1.368258,2.013326,67.9601
B0006,24,117,42.7878,1.999,1.363302,2.013326,67.7139
B0006,24,118,42.9898,1.9992,1.358097,2.013326,67.4554
B0006,24,119,43.1883,1.9992,1.353269,2.013326,67.2156
B0006,24,120,44.062,1.9992,1.384161,2.013326,68.7499
B0006,24,121,44.2583,1.999,1.405147,2.013326,69.7923
B0006,24,122,44.4629,1.999,1.378719,2.013326,68.4797
B0006,24,123,44.6664,1.999,1.368266,2.013326,67.9605
B0006,24,124,44.8719,1.999,1.357315,2.013326,67.4165
B0006,24,125,45.0763,1.999,1.352493,2.013326,67.1771
B0006,24,126,45.2814,1.999,1.34741,2.013326,66.9246
B0006,24,127,45.4859,1.999,1.337008,2.013326,66.4079
B0006,24,128,45.6911,1.999,1.331235,2.013326,66.1212
B0006,24,129,45.8883,1.999,1.32593,2.013326,65.8577
B0006,24,130,46.0908,1.999,1.321579,2.013326,65.6416
B0006,24,131,46.2959,1.999,1.321225,2.013326,65.624
B0006,24,132,46.501,1.999,1.315649,2.013326,65.347
B0006,24,133,47.0062,1.9992,1.320903,2.013326,65.608
B0006,24,134,47.232,1.999,1.347433,2.013326,66.9257
B0006,24,135,47.4104,1.999,1.326013,2.013326,65.8618
B0006,24,136,47.6156,1.999,1.310119,2.013326,65.0723
B0006,24,137,47.8206,1.999,1.305216,2.013326,64.8288
B0006,24,138,48.0221,1.999,1.300406,2.013326,64.5899
B0006,24,139,48.2257,1.999,1.300236,2.013326,64.5815
B0006,24,140,48.4264,1.999,1.289507,2.013326,64.0486
B0006,24,141,48.6241,1.9988,1.279253,2.013326,63.5393
B0006,24,142,48.8281,1.999,1.279208,2.013326,63.537
B0006,24,143,49.031,1.999,1.274037,2.013326,63.2802
B0006,24,144,49.2337,1.999,1.274127,2.013326,63.2847
B0006,24,145,49.4287,1.9988,1.263764,2.013326,62.7699
B0006,24,146,49.6298,1.9988,1.258137,2.013326,62.4905
B0006,24,147,49.8317,1.999,1.25326,2.013326,62.2482
B0006,24,148,50.0363,1.999,1.253231,2.013326,62.2468
B0006,24,149,50.232,1.999,1.248087,2.013326,61.9913
B0006,24,150,50.8664,1.999,1.253435,2.013326,62.2569
B0006,24,151,51.2006,1.999,1.289805,2.013326,64.0634
B0006,24,152,51.4053,1.999,1.26354,2.013326,62.7588
B0006,24,153,51.6074,1.9988,1.247976,2.013326,61.9858
B0006,24,154,51.8036,1.9988,1.23212,2.013326,61.1982
B0006,24,155,52.0038,1.9988,1.227114,2.013326,60.9496
B0006,24,156,52.2052,1.9988,1.22174,2.013326,60.6826
B0006,24,157,52.4036,1.9988,1.211103,2.013326,60.1543
B0006,24,158,52.6053,1.9988,1.205616,2.013326,59.8818
B0006,24,159,52.8097,1.999,1.200894,2.013326,59.6472
B0006,24,160,53.008,1.999,1.19059,2.013326,59.1355
B0006,24,161,53.2065,1.9988,1.185179,2.013326,58.8667
B0006,24,162,53.4079,1.9988,1.179671,2.013326,58.5931
B0006,24,163,53.608,1.9988,1.174595,2.013326,58.341
B0006,24,164,53.8048,1.9988,1.153818,2.013326,57.3091
B0006,24,165,54.0035,1.999,1.164401,2.013326,57.8347
B0006,24,166,54.2051,1.999,1.158797,2.013326,57.5564
B0006,24,167,55.0187,1.999,1.174975,2.013326,58.3599
B0006,24,168,55.2222,1.9992,1.185675,2.013326,58.8914
B0007,24,1,0.0,2.0,1.891052,1.880663,100.5524
B0007,24,2,0.1792,2.0,1.880637,1.880663,99.9986
B0007,24,3,0.3579,2.0,1.880663,1.880663,100.0
B0007,24,4,0.5354,2.0,1.880771,1.880663,100.0058
B0007,24,5,0.7137,2.0,1.879451,1.880663,99.9356
B0007,24,6,0.8955,2.0,1.8807,1.880663,100.002
B0007,24,7,1.0775,2.0,1.879935,1.880663,99.9613
B0007,24,8,1.2518,2.0,1.881509,1.880663,100.045
B0007,24,9,1.4254,2.0,1.869691,1.880663,99.4166
B0007,24,10,1.5989,2.0,1.870052,1.880663,99.4358
B0007,24,11,1.772,2.0,1.870044,1.880663,99.4354
B0007,24,12,2.1047,2.0,1.859652,1.880663,98.8828
B0007,24,13,2.2752,2.0,1.859075,1.880663,98.8521
B0007,24,14,2.4547,2.0,1.859008,1.880663,98.8486
B0007,24,15,2.6245,2.0,1.859362,1.880663,98.8674
B0007,24,16,2.795,2.0,1.858736,1.880663,98.8341
B0007,24,17,2.9646,2.0,1.847817,1.880663,98.2535
B0007,24,18,3.1345,2.0,1.848525,1.880663,98.2912
B0007,24,19,3.3062,2.0,1.848379,1.880663,98.2834
B0007,24,20,16.2393,2.0,1.880781,1.880663,100.0063
B0007,24,21,16.4607,2.0,1.881472,1.880663,100.043
B0007,24,22,16.6816,2.0,1.881095,1.880663,100.023
B0007,24,23,16.9,2.0,1.871009,1.880663,99.4867
B0007,24,24,17.1262,2.0,1.8702,1.880663,99.4436
B0007,24,25,17.3446,2.0,1.870672,1.880663,99.4687
B0007,24,26,17.5618,2.0,1.859612,1.880663,98.8807
B0007,24,27,17.7853,2.0,1.860034,1.880663,98.9031
B0007,24,28,18.0079,2.0,1.859165,1.880663,98.8569
B0007,24,29,18.2257,2.0,1.84814,1.880663,98.2707
B0007,24,30,18.4509,2.0,1.849202,1.880663,98.3271
B0007,24,31,20.0056,2.0,1.883468,1.880663,100.1492
B0007,24,32,20.2088,2.0,1.862821,1.880663,99.0513
B0007,24,33,20.4115,2.0,1.852085,1.880663,98.4804
B0007,24,34,20.6199,2.0,1.84695,1.880663,98.2074
B0007,24,35,20.8211,2.0,1.836828,1.880663,97.6692
B0007,24,36,21.0283,2.0,1.837162,1.880663,97.6869
B0007,24,37,21.2342,2.0,1.831672,1.880663,97.395
B0007,24,38,21.4346,2.0,1.821147,1.880663,96.8354
B0007,24,39,21.6419,2.0,1.816506,1.880663,96.5886
B0007,24,40,21.8498,2.0,1.811382,1.880663,96.3161
B0007,24,41,22.0557,2.0,1.811606,1.880663,96.328
B0007,24,42,22.2587,2.0,1.806055,1.880663,96.0329
B0007,24,43,22.8598,2.0,1.813204,1.880663,96.413
B0007,24,44,23.1932,2.0,1.806264,1.880663,96.044
B0007,24,45,23.402,2.0,1.795831,1.880663,95.4893
B0007,24,46,23.6055,2.0,1.785885,1.880663,94.9604
B0007,24,47,23.8144,2.0,1.780327,1.880663,94.6649
B0007,24,48,26.8682,2.0,1.815076,1.880663,96.5126
B0007,24,49,27.0693,2.0,1.815703,1.880663,96.5459
B0007,24,50,27.2739,2.0,1.800243,1.880663,95.7239
B0007,24,51,27.471,2.0,1.790448,1.880663,95.203
B0007,24,52,27.6778,2.0,1.780343,1.880663,94.6657
B0007,24,53,27.8772,2.0,1.775329,1.880663,94.3991
B0007,24,54,28.0796,2.0,1.770263,1.880663,94.1297
B0007,24,55,28.2842,2.0,1.760081,1.880663,93.5883
B0007,24,56,28.493,2.0,1.749648,1.880663,93.0336
B0007,24,57,28.7016,2.0,1.74965,1.880663,93.0337
B0007,24,58,28.9088,2.0,1.745029,1.880663,92.788
B0007,24,59,29.1149,2.0,1.739646,1.880663,92.5017
B0007,24,60,29.3226,2.0,1.728564,1.880663,91.9125
B0007,24,61,29.5194,2.0,1.7239,1.880663,91.6645
B0007,24,62,29.7215,2.0,1.713979,1.880663,91.137
B0007,24,63,29.9287,2.0,1.71397,1.880663,91.1365
B0007,24,64,30.1542,2.0,1.703652,1.880663,90.5879
B0007,24,65,30.3324,2.0,1.704014,1.880663,90.6071
B0007,24,66,30.533,2.0,1.693572,1.880663,90.0519
B0007,24,67,30.7393,2.0,1.687658,1.880663,89.7374
B0007,24,68,30.9437,2.0,1.683074,1.880663,89.4937
B0007,24,69,31.1476,2.0,1.677927,1.880663,89.22
B0007,24,70,31.345,2.0,1.673206,1.880663,88.969
B0007,24,71,31.5528,2.0,1.667437,1.880663,88.6622
B0007,24,72,31.7601,2.0,1.662266,1.880663,88.3873
B0007,24,73,31.967,2.0,1.657424,1.880663,88.1298
B0007,24,74,32.1746,2.0,1.652539,1.880663,87.87
B0007,24,75,32.3821,2.0,1.647217,1.880663,87.5871
B0007,24,76,32.5851,2.0,1.636414,1.880663,87.0126
B0007,24,77,32.8443,2.0,1.636255,1.880663,87.0042
B0007,24,78,33.2184,2.0,1.641119,1.880663,87.2628
B0007,24,79,33.4258,2.0,1.63157,1.880663,86.7551
B0007,24,80,33.6329,2.0,1.621213,1.880663,86.2044
B0007,24,81,33.8331,2.0,1.616427,1.880663,85.9499
B0007,24,82,34.0402,2.0,1.615824,1.880663,85.9178
B0007,24,83,34.2473,2.0,1.616724,1.880663,85.9657
B0007,24,84,34.4526,2.0,1.610866,1.880663,85.6541
B0007,24,85,34.6516,2.0,1.60066,1.880663,85.1115
B0007,24,86,34.8584,2.0,1.595917,1.880663,84.8593
B0007,24,87,35.0651,2.0,1.596218,1.880663,84.8753
B0007,24,88,35.2712,2.0,1.595807,1.880663,84.8534
B0007,24,89,35.4779,2.0,1.590651,1.880663,84.5793
B0007,24,90,36.8746,2.0,1.688821,1.880663,89.7993
B0007,24,91,37.21,2.0,1.625994,1.880663,86.4586
B0007,24,92,37.4141,2.0,1.615743,1.880663,85.9135
B0007,24,93,37.6198,2.0,1.605663,1.880663,85.3775
B0007,24,94,37.8267,2.0,1.594975,1.880663,84.8092
B0007,24,95,38.0321,2.0,1.59041,1.880663,84.5665
